SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,DREB,DREB_CONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,Nicolas Batum,201587,36,15,21,20.9,2.2,0.5,24.1,3.9,56.0,0.4,62.2,7.0
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Nigel Hayes-Davis,1628502,15,8,7,9.3,1.2,0.1,11.1,1.7,69.2,0.0,69.2,8.4
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Nikola Jokić,203999,32,22,10,34.6,9.1,3.8,41.8,14.0,65.3,1.5,73.0,4.4
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Nikola Jović,1631107,26,14,12,21.5,3.7,1.3,34.7,6.6,55.2,0.8,62.5,6.6
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Nikola Vučević,202696,38,18,20,30.7,7.1,2.5,34.8,11.4,62.4,1.2,69.4,4.7
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,Nique Clifford,1642363,30,9,21,19.6,2.5,0.5,18.7,4.6,54.0,0.5,60.0,6.6
2025-26,Regular+Season,BKN,1610612751,Brooklyn Nets,Noah Clowney,1641730,37,11,26,28.5,2.9,0.9,30.2,5.8,49.3,0.6,55.2,5.4
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Noah Penda,1642869,23,11,12,14.8,2.7,0.8,31.1,4.2,62.9,0.3,68.5,5.2
2025-26,Regular+Season,BKN,1610612751,Brooklyn Nets,Nolan Traore,1642849,11,5,6,18.3,1.5,0.5,35.3,2.6,58.6,0.3,65.4,9.6
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Norman Powell,1626181,32,18,14,30.8,3.4,1.1,30.9,5.5,62.1,0.5,67.9,8.6
2025-26,Regular+Season,NYK,1610612752,New York Knicks,OG Anunoby,1628384,28,18,10,33.0,4.3,1.2,27.3,7.1,61.1,0.6,67.2,6.3
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Obi Toppin,1630167,3,0,3,27.4,5.7,1.0,17.6,8.0,70.8,0.7,77.3,5.1
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,Ochai Agbaji,1630534,27,14,13,17.0,2.0,0.5,26.4,3.4,57.0,0.5,66.3,8.5
2025-26,Regular+Season,MEM,1610612763,Memphis Grizzlies,Olivier-Maxence Prosper,1641765,16,8,8,13.5,2.1,0.6,30.3,3.4,61.1,0.5,71.7,5.3
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,Onyeka Okongwu,1630168,40,18,22,31.9,6.0,1.8,29.9,9.9,61.0,0.9,67.1,4.6
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Orlando Robinson,1631115,2,0,2,8.2,1.0,0.0,0.0,1.5,66.7,0.0,66.7,2.8
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Oscar Tshiebwe,1631131,1,0,1,14.8,4.0,2.0,50.0,9.0,44.4,1.0,50.0,2.4
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Oso Ighodaro,1642345,37,22,15,20.2,3.3,1.0,29.8,5.8,56.5,0.6,62.7,5.8
2025-26,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Ousmane Dieng,1631172,14,13,1,14.1,1.7,0.5,29.2,2.9,60.0,0.1,63.2,7.1
2025-26,Regular+Season,DAL,1610612742,Dallas Mavericks,P.J. Washington,1629023,29,9,20,32.3,6.2,1.3,21.5,9.7,64.2,0.7,69.1,6.0
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,PJ Hall,1641790,12,3,9,12.6,2.4,1.0,41.4,4.3,56.9,0.3,60.4,5.3
2025-26,Regular+Season,NYK,1610612752,New York Knicks,Pacôme Dadiet,1642359,9,6,3,3.9,1.1,0.0,0.0,1.6,71.4,0.2,83.3,8.1
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Paolo Banchero,1631094,30,15,15,33.7,7.7,1.5,19.8,10.9,70.7,0.7,75.8,4.9
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Pascal Siakam,1627783,39,9,30,33.8,5.2,0.9,18.2,8.0,65.3,0.8,72.5,6.6
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Pat Connaughton,1626192,10,2,8,10.8,2.0,0.9,45.0,3.9,51.3,0.3,55.6,4.6
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Pat Spencer,1630311,19,10,9,17.8,1.9,0.3,13.9,3.8,50.0,0.5,57.1,7.1
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Patrick Williams,1630172,33,13,20,20.0,2.5,0.8,32.5,3.8,65.9,0.3,72.2,6.1
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Paul George,202331,21,13,8,29.8,4.7,0.9,18.2,8.7,54.4,1.0,61.1,6.0
2025-26,Regular+Season,DET,1610612765,Detroit Pistons,Paul Reed,1630194,24,16,8,13.7,2.7,1.0,38.5,4.8,56.5,0.5,63.1,4.6
2025-26,Regular+Season,BOS,1610612738,Boston Celtics,Payton Pritchard,1630202,39,24,15,32.9,3.5,0.5,14.7,6.3,55.5,0.7,63.0,8.8
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Pelle Larsson,1641796,26,17,9,23.5,2.5,0.8,31.3,4.3,57.7,0.4,64.0,8.4
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Pete Nance,1631250,5,1,4,4.5,1.2,0.2,16.7,1.8,66.7,0.0,66.7,4.8
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Peyton Watson,1631212,37,25,12,30.0,4.1,1.0,24.2,6.7,61.9,0.6,68.0,6.0
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,Precious Achiuwa,1630173,32,8,24,20.7,3.6,1.4,39.7,6.6,54.7,0.8,62.4,5.3
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Quentin Grimes,1629656,35,21,14,31.8,3.3,0.9,25.9,6.0,55.2,0.6,61.4,7.0
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Quenton Jackson,1631245,11,2,9,18.1,2.2,0.5,20.8,3.6,60.0,0.4,66.7,8.2
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Quinten Post,1642366,37,18,19,19.3,3.2,1.0,30.3,6.4,50.4,0.9,58.9,6.0
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,RJ Barrett,1629628,23,16,7,30.4,4.3,0.9,21.4,7.0,60.9,0.6,66.7,6.2
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Rasheer Fleming,1642853,13,10,3,7.9,1.0,0.3,30.8,1.5,65.0,0.2,72.2,6.9
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,RayJ Dennis,1642484,10,1,9,14.3,1.5,0.1,6.7,2.7,55.6,0.6,71.4,9.3
2025-26,Regular+Season,POR,1610612757,Portland Trail Blazers,Rayan Rupert,1641712,23,13,10,13.2,1.9,0.3,18.6,3.3,57.3,0.4,65.2,7.4
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Reed Sheppard,1642263,31,21,10,25.6,2.7,0.5,18.8,4.8,56.7,0.4,61.2,8.2
2025-26,Regular+Season,SAS,1610612759,San Antonio Spurs,Riley Minix,1642434,2,1,1,3.1,0.5,0.0,0.0,1.0,50.0,0.0,50.0,2.6
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Rob Dillingham,1642265,21,13,8,10.1,1.6,0.2,11.8,2.2,72.3,0.3,82.9,9.4
2025-26,Regular+Season,POR,1610612757,Portland Trail Blazers,Robert Williams III,1629057,28,13,15,15.7,4.0,1.6,39.3,6.2,64.4,0.6,71.3,4.8
2025-26,Regular+Season,BOS,1610612738,Boston Celtics,Ron Harper Jr.,1631199,1,0,1,9.8,2.0,0.0,0.0,3.0,66.7,1.0,100,10.1
2025-26,Regular+Season,DET,1610612765,Detroit Pistons,Ronald Holland II,1641842,34,25,9,21.3,3.3,0.8,24.1,5.1,64.0,0.4,69.1,7.2
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Royce O'Neale,1626220,40,24,16,29.5,4.4,1.1,25.1,6.8,64.6,0.7,71.4,6.6
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Rudy Gobert,203497,39,25,14,31.6,7.4,2.2,30.1,12.7,58.3,1.4,65.7,4.3
2025-26,Regular+Season,LAL,1610612747,Los Angeles Lakers,Rui Hachimura,1629060,28,20,8,32.0,2.9,0.8,26.8,5.3,55.4,0.4,59.9,7.9
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,Russell Westbrook,201566,39,10,29,29.6,5.1,0.9,18.3,7.1,71.6,0.4,75.5,6.6
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Ryan Dunn,1642346,33,20,13,21.6,3.1,0.7,22.8,5.5,55.2,0.6,61.6,4.9
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Ryan Kalkbrenner,1641750,27,10,17,25.5,3.9,1.8,46.2,8.3,46.6,1.3,55.6,5.5
2025-26,Regular+Season,DAL,1610612742,Dallas Mavericks,Ryan Nembhard,1642948,20,9,11,23.0,2.1,0.3,11.9,4.2,50.0,0.4,55.3,9.6
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Ryan Rollins,1631157,38,17,21,31.6,3.7,0.8,20.4,6.6,56.3,0.6,62.0,7.3
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Saddiq Bey,1630180,35,8,27,29.9,4.1,0.9,21.5,6.0,68.6,0.5,74.6,7.3
2025-26,Regular+Season,BOS,1610612738,Boston Celtics,Sam Hauser,1630573,37,24,13,23.0,3.0,0.5,15.3,5.2,57.5,0.4,62.0,6.8
2025-26,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Sam Merrill,1630241,19,12,7,26.6,2.0,0.5,23.7,4.6,43.7,0.6,50.7,7.8
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,Sandro Mamukelashvili,1630572,39,23,16,21.4,3.4,0.8,23.1,6.4,54.0,0.6,60.1,5.8
2025-26,Regular+Season,MEM,1610612763,Memphis Grizzlies,Santi Aldama,1630583,39,17,22,28.0,5.2,1.0,18.7,8.4,61.9,0.9,69.8,5.7
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,Scottie Barnes,1630567,40,24,16,34.3,6.1,1.6,26.6,9.4,64.9,0.9,71.3,5.9
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Seth Curry,203552,2,0,2,16.0,1.5,1.0,66.7,1.5,100,0.0,100,16.6
2025-26,Regular+Season,POR,1610612757,Portland Trail Blazers,Shaedon Sharpe,1631101,36,16,20,29.7,3.4,0.6,19.0,5.6,59.6,0.3,62.7,6.9
2025-26,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Shai Gilgeous-Alexander,1628983,38,32,6,33.2,4.2,1.0,24.7,6.2,66.9,0.4,71.5,8.9
2025-26,Regular+Season,POR,1610612757,Portland Trail Blazers,Sidy Cissoko,1631321,30,11,19,21.5,1.6,0.4,22.9,3.2,49.5,0.3,54.5,8.5
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Simone Fontecchio,1631323,32,15,17,17.5,2.5,0.6,22.5,4.2,60.2,0.6,69.6,7.2
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Sion James,1642883,39,13,26,25.7,2.9,0.6,21.9,5.5,53.5,0.5,59.4,7.8
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Spencer Jones,1642461,27,18,9,26.1,2.1,0.6,25.9,4.6,46.4,0.6,53.7,7.3
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Stephen Curry,201939,29,17,12,32.0,3.6,0.8,23.1,5.8,61.5,0.4,65.8,8.1
2025-26,Regular+Season,SAS,1610612759,San Antonio Spurs,Stephon Castle,1642264,29,19,10,31.6,4.3,1.1,24.8,6.6,65.8,0.5,71.0,7.3
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Steven Adams,203500,29,20,9,22.8,4.2,1.4,34.7,7.4,56.3,0.7,62.1,5.1
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Svi Mykhailiuk,1629004,34,11,23,24.7,1.9,0.5,26.6,2.8,68.1,0.4,78.0,9.0
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,T.J. McConnell,204456,26,7,19,17.4,2.0,0.2,7.5,3.5,57.6,0.4,64.6,9.8
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Taelon Peter,1643007,11,0,11,7.5,1.2,0.3,23.1,2.0,59.1,0.2,65.0,8.5
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Tari Eason,1631106,21,13,8,23.7,4.0,0.7,17.6,5.3,75.9,0.4,82.5,7.0
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Taurean Prince,1627752,5,3,2,21.7,2.6,0.4,15.4,4.8,54.2,0.0,54.2,7.6
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Taylor Hendricks,1641707,24,7,17,16.8,2.4,0.7,27.6,4.0,60.4,0.2,63.7,6.7
2025-26,Regular+Season,BKN,1610612751,Brooklyn Nets,Terance Mann,1629611,31,9,22,26.4,2.2,0.5,20.3,4.1,54.8,0.5,63.3,7.7
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Terrence Shannon Jr.,1630545,13,6,7,14.9,1.7,0.5,31.8,2.8,59.5,0.2,62.9,9.0
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Thanasis Antetokounmpo,203648,5,0,5,4.5,0.6,0.4,66.7,1.0,60.0,0.0,60.0,9.3
2025-26,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Thomas Bryant,1628418,22,11,11,11.5,2.5,0.9,37.0,4.5,54.5,0.5,61.4,4.3
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Tidjane Salaün,1642275,24,9,15,17.3,3.7,1.0,28.1,5.8,64.5,0.2,66.9,5.0
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Tim Hardaway Jr.,203501,37,24,13,27.3,2.3,0.8,36.9,4.0,56.8,0.4,62.2,8.0
2025-26,Regular+Season,DET,1610612765,Detroit Pistons,Tobias Harris,202699,20,13,7,28.7,3.9,1.1,26.9,6.3,61.9,0.4,66.1,7.2
2025-26,Regular+Season,DET,1610612765,Detroit Pistons,Tolu Smith,1642449,5,3,2,10.9,3.6,0.6,16.7,4.8,75.0,0.4,81.8,4.5
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Tony Bradley,1628396,26,5,21,11.6,1.3,0.3,26.5,2.4,54.0,0.3,61.8,5.0
2025-26,Regular+Season,NYK,1610612752,New York Knicks,Tosan Evbuomwan,1641787,2,2,0,2.3,0.5,0.0,0.0,1.0,50.0,0.0,50.0,7.6
2025-26,Regular+Season,POR,1610612757,Portland Trail Blazers,Toumani Camara,1641739,41,19,22,33.8,3.4,0.7,20.3,6.4,52.3,0.6,58.0,7.6
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Trae Young,1629027,9,2,7,27.6,1.7,0.1,6.7,2.6,65.2,0.2,71.4,10.3
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Trayce Jackson-Davis,1631218,23,12,11,14.1,2.7,0.8,31.1,4.8,55.5,0.9,67.8,5.2
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Tre Johnson,1642848,29,7,22,24.3,2.7,0.3,11.7,4.2,63.6,0.4,70.0,7.9
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Tre Jones,1630200,32,15,17,26.8,2.3,0.3,10.7,3.8,61.5,0.3,67.0,9.2
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Tre Mann,1630544,24,9,15,18.8,2.0,0.4,21.3,3.7,52.8,0.5,60.3,5.8
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Trendon Watford,1630570,15,7,8,18.5,3.5,0.7,20.8,5.1,69.7,0.4,75.7,6.8
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Trentyn Flowers,1642280,1,0,1,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Trey Alexander,1641725,2,0,2,16.4,2.0,0.0,0.0,4.0,50.0,1.0,66.7,4.4
2025-26,Regular+Season,NYK,1610612752,New York Knicks,Trey Jemison III,1641998,5,4,1,7.1,1.0,0.4,40.0,1.8,55.6,0.4,71.4,7.5
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Trey Murphy III,1630530,38,9,29,35.6,5.0,1.3,25.8,8.2,60.7,0.7,66.4,5.8
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Tristan Vukcevic,1641774,23,5,18,13.5,2.3,0.5,22.6,4.4,52.5,0.7,62.4,5.2
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Tristan da Silva,1641783,33,18,15,23.2,2.9,1.0,34.0,5.0,58.8,0.6,66.4,6.9
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Tyler Herro,1629639,8,3,5,31.6,4.8,0.4,7.9,7.8,61.3,0.5,65.5,7.4
2025-26,Regular+Season,NYK,1610612752,New York Knicks,Tyler Kolek,1642278,25,13,12,15.1,2.2,0.3,14.5,3.4,64.0,0.2,68.8,10.2
2025-26,Regular+Season,BKN,1610612751,Brooklyn Nets,Tyrese Martin,1631213,30,8,22,19.6,2.1,0.6,28.6,3.8,55.3,0.4,62.4,8.3
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Tyrese Maxey,1630178,36,21,15,39.6,4.2,0.5,12.5,6.9,61.5,0.4,65.5,9.5
2025-26,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Tyrese Proctor,1642878,17,10,7,13.7,1.7,0.3,17.2,2.5,67.4,0.1,70.7,11.8
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Tyus Jones,1626145,25,15,10,18.8,1.5,0.1,8.1,2.4,62.7,0.2,69.8,10.1
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,VJ Edgecombe,1642845,34,21,13,36.1,3.7,1.0,27.2,7.0,52.3,0.7,57.9,6.8
2025-26,Regular+Season,SAS,1610612759,San Antonio Spurs,Victor Wembanyama,1641705,26,17,9,29.0,9.1,2.8,30.9,13.7,66.3,1.2,72.8,5.1
2025-26,Regular+Season,MEM,1610612763,Memphis Grizzlies,Vince Williams Jr.,1631246,25,12,13,21.9,3.5,0.8,21.8,5.8,60.0,0.5,65.9,8.2
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,Vít Krejčí,1630249,34,17,17,23.9,2.1,0.6,27.1,3.8,53.8,0.5,61.9,8.1
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Walker Kessler,1631117,5,2,3,30.8,6.2,1.4,22.6,12.4,50.0,2.0,59.6,4.4
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Walter Clayton Jr.,1642383,26,10,16,17.8,2.1,0.4,18.2,3.5,60.4,0.4,67.9,9.4
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Wendell Carter Jr.,1628976,38,21,17,30.3,5.3,2.0,38.1,9.9,53.7,1.4,62.5,5.1
2025-26,Regular+Season,DET,1610612765,Detroit Pistons,Wendell Moore Jr.,1631111,2,2,0,16.6,1.5,0.0,0.0,3.5,42.9,1.5,75.0,8.5
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Will Richard,1642954,30,19,11,19.4,1.9,0.5,26.3,3.3,57.0,0.4,64.8,7.0
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Will Riley,1642860,26,8,18,14.3,1.4,0.2,11.1,2.3,60.0,0.2,64.3,8.4
2025-26,Regular+Season,BOS,1610612738,Boston Celtics,Xavier Tillman,1630214,7,4,3,12.4,2.0,0.4,21.4,2.7,73.7,0.0,73.7,8.8
2025-26,Regular+Season,POR,1610612757,Portland Trail Blazers,Yang Hansen,1642905,18,7,11,9.8,1.7,0.6,36.7,3.9,42.3,0.7,51.7,5.3
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,Yanic Konan Niederhäuser,1642949,18,8,10,8.8,1.3,0.4,30.4,3.4,37.1,0.3,40.4,4.2
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Yves Missi,1642274,32,6,26,18.5,2.8,1.0,34.8,5.6,49.4,0.5,54.3,4.5
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,Zaccharie Risacher,1642258,34,17,17,24.9,2.5,0.6,24.7,4.1,61.6,0.4,67.5,6.7
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Zach Collins,1628380,10,6,4,18.4,4.0,1.5,37.5,6.8,58.8,0.9,67.8,4.9
2025-26,Regular+Season,MEM,1610612763,Memphis Grizzlies,Zach Edey,1641744,11,7,4,25.8,7.2,2.5,34.2,12.1,59.4,1.7,69.3,4.7
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,Zach LaVine,203897,28,7,21,32.7,2.8,0.5,19.0,4.9,57.2,0.5,64.2,7.0
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Zeke Nnaji,1630192,19,15,4,15.0,2.5,0.4,17.0,3.7,66.2,0.3,72.3,5.3
2025-26,Regular+Season,BKN,1610612751,Brooklyn Nets,Ziaire Williams,1630533,26,8,18,22.8,2.0,0.3,17.0,3.2,63.1,0.1,65.4,7.2
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Zion Williamson,1629627,25,6,19,29.2,3.5,1.3,37.5,6.2,57.1,0.7,64.2,6.0
