SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,MIN,BOX_OUTS,OFF_BOXOUTS,DEF_BOXOUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF
2018-19,Regular+Season,SAC,Sacramento Kings,47.8,22.7,2.5,20.2,11.0,89.0
2018-19,Regular+Season,SAS,San Antonio Spurs,48.2,27.1,3.2,24.0,11.7,88.3
2018-19,Regular+Season,TOR,Toronto Raptors,48.1,28.0,2.9,25.1,10.5,89.5
2018-19,Regular+Season,UTA,Utah Jazz,48.0,24.1,2.5,21.6,10.3,89.7
2018-19,Regular+Season,WAS,Washington Wizards,48.4,23.8,3.2,20.5,13.6,86.4
2018-19,Playoffs,BOS,Boston Celtics,47.1,26.9,3.3,23.6,12.4,87.6
2018-19,Playoffs,BKN,Brooklyn Nets,47.9,32.0,0.6,31.4,1.9,98.1
2018-19,Playoffs,DEN,Denver Nuggets,48.7,20.6,2.6,17.9,12.8,86.9
2018-19,Playoffs,DET,Detroit Pistons,47.8,22.3,2.3,20.0,10.1,89.9
2018-19,Playoffs,GSW,Golden State Warriors,48.2,21.8,2.2,19.6,10.2,89.8
2018-19,Playoffs,HOU,Houston Rockets,48.4,28.2,2.1,26.1,7.4,92.6
2018-19,Playoffs,IND,Indiana Pacers,44.3,15.5,2.3,13.3,14.5,85.5
2018-19,Playoffs,LAC,LA Clippers,47.8,24.5,1.2,23.3,4.8,95.2
2018-19,Playoffs,MIL,Milwaukee Bucks,48.4,20.6,2.3,18.3,11.0,89.0
2018-19,Playoffs,OKC,Oklahoma City Thunder,47.9,27.2,1.4,25.8,5.1,94.9
2018-19,Playoffs,ORL,Orlando Magic,48.0,20.0,4.0,16.0,20.0,80.0
2018-19,Playoffs,PHI,Philadelphia 76ers,47.5,22.3,2.3,19.9,10.5,89.5
2018-19,Playoffs,POR,Portland Trail Blazers,49.1,29.8,3.0,26.8,10.1,89.9
2018-19,Playoffs,SAS,San Antonio Spurs,47.6,22.4,1.3,21.1,5.7,94.3
2018-19,Playoffs,TOR,Toronto Raptors,48.2,28.3,2.0,26.3,7.1,92.9
2018-19,Playoffs,UTA,Utah Jazz,47.7,22.6,2.8,19.8,12.4,87.6
2019-20,Pre+Season,Adelaide 36ers,Adelaide 36ers,48.0,7.0,1.0,6.0,14.3,85.7
2019-20,Pre+Season,ATL,Atlanta Hawks,48.0,11.6,1.0,10.6,8.6,91.4
2019-20,Pre+Season,BOS,Boston Celtics,46.5,15.2,3.0,12.2,19.8,80.2
2019-20,Pre+Season,BKN,Brooklyn Nets,41.3,17.8,1.7,16.2,9.3,90.7
2019-20,Pre+Season,Buenos Aires San Lorenzo,Buenos Aires San Lorenzo,47.5,4.0,0.0,4.0,0.0,100
2019-20,Pre+Season,CHA,Charlotte Hornets,47.8,13.6,0.6,13.0,4.4,95.6
2019-20,Pre+Season,CHI,Chicago Bulls,47.5,20.2,1.6,18.6,7.9,92.1
2019-20,Pre+Season,CLE,Cleveland Cavaliers,47.9,12.5,1.3,11.3,10.0,90.0
2019-20,Pre+Season,DAL,Dallas Mavericks,48.0,16.1,1.0,15.1,6.2,93.8
2019-20,Pre+Season,DEN,Denver Nuggets,47.6,13.0,1.8,11.2,14.1,85.9
2019-20,Pre+Season,DET,Detroit Pistons,47.6,14.8,1.8,13.0,12.2,87.8
2019-20,Pre+Season,GSW,Golden State Warriors,47.4,17.2,1.6,15.6,9.3,90.7
2019-20,Pre+Season,Guangzhou Long-Lions,Guangzhou Long-Lions,45.3,19.0,2.0,17.0,10.5,89.5
2019-20,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,37.4,18.7,2.7,16.0,14.3,85.7
2019-20,Pre+Season,HOU,Houston Rockets,46.8,18.9,1.8,17.1,9.3,90.7
2019-20,Pre+Season,IND,Indiana Pacers,40.4,16.0,2.4,13.6,15.0,85.0
2019-20,Pre+Season,LAC,LA Clippers,40.7,16.1,1.4,14.7,8.8,91.2
2019-20,Pre+Season,LAL,Los Angeles Lakers,45.4,18.6,2.4,16.1,13.2,86.8
2019-20,Pre+Season,Melbourne United,Melbourne United,47.8,17.0,2.5,14.5,14.7,85.3
2019-20,Pre+Season,MEM,Memphis Grizzlies,41.7,14.6,1.5,13.1,10.3,89.7
2019-20,Pre+Season,MIA,Miami Heat,42.9,17.8,1.9,15.9,10.6,89.4
2019-20,Pre+Season,MIL,Milwaukee Bucks,47.1,22.3,1.7,20.7,7.5,92.5
2019-20,Pre+Season,MIN,Minnesota Timberwolves,48.0,15.8,3.2,12.6,20.3,79.7
2019-20,Pre+Season,NOP,New Orleans Pelicans,37.1,12.9,1.4,11.5,10.7,89.3
2019-20,Pre+Season,NYK,New York Knicks,48.0,13.3,3.3,10.0,24.5,75.5
2019-20,Pre+Season,New Zealand Breakers,New Zealand Breakers,42.6,7.0,0.0,7.0,0.0,100
2019-20,Pre+Season,OKC,Oklahoma City Thunder,46.2,22.2,1.0,21.2,4.5,95.5
2019-20,Pre+Season,ORL,Orlando Magic,45.6,16.2,2.0,14.2,12.3,87.7
2019-20,Pre+Season,PHI,Philadelphia 76ers,42.1,14.6,1.4,13.3,9.4,90.6
2019-20,Pre+Season,PHX,Phoenix Suns,41.2,19.0,2.6,16.4,13.5,86.5
2019-20,Pre+Season,POR,Portland Trail Blazers,40.2,13.5,2.2,11.3,16.0,84.0
2019-20,Pre+Season,SESI/Franca Basketball Club of Brazil,SESI/Franca Basketball Club of Brazil,47.8,21.0,1.0,20.0,4.8,95.2
2019-20,Pre+Season,SAC,Sacramento Kings,37.7,14.5,1.1,13.4,7.8,92.2
2019-20,Pre+Season,SAS,San Antonio Spurs,40.5,11.5,1.3,10.2,11.6,88.4
2019-20,Pre+Season,Shanghai Sharks,Shanghai Sharks,47.7,14.0,1.0,13.0,7.1,92.9
2019-20,Pre+Season,TOR,Toronto Raptors,40.4,19.0,1.4,17.6,7.5,92.5
2019-20,Pre+Season,UTA,Utah Jazz,47.1,21.7,1.9,19.9,8.6,91.4
2019-20,Pre+Season,WAS,Washington Wizards,43.0,17.0,1.8,15.3,10.3,89.7
2019-20,Regular+Season,ATL,Atlanta Hawks,48.5,15.7,2.2,13.5,14.0,86.0
2019-20,Regular+Season,BOS,Boston Celtics,48.1,18.0,2.4,15.7,13.0,86.8
2019-20,Regular+Season,BKN,Brooklyn Nets,48.4,16.6,1.2,15.4,7.3,92.7
2019-20,Regular+Season,CHA,Charlotte Hornets,48.3,14.5,1.6,12.9,10.7,89.3
2019-20,Regular+Season,CHI,Chicago Bulls,48.1,14.7,1.9,12.9,12.6,87.4
2019-20,Regular+Season,CLE,Cleveland Cavaliers,48.0,16.6,2.5,14.1,14.9,85.1
2019-20,Regular+Season,DAL,Dallas Mavericks,48.1,14.5,0.9,13.6,6.4,93.6
2019-20,Regular+Season,DEN,Denver Nuggets,48.4,12.4,1.8,10.6,14.5,85.5
2019-20,Regular+Season,DET,Detroit Pistons,48.1,12.7,1.4,11.3,11.4,88.6
2019-20,Regular+Season,GSW,Golden State Warriors,48.2,15.4,0.9,14.5,5.6,94.4
2019-20,Regular+Season,HOU,Houston Rockets,48.1,16.9,1.1,15.8,6.5,93.4
2019-20,Regular+Season,IND,Indiana Pacers,48.1,13.7,1.4,12.4,9.9,90.1
2019-20,Regular+Season,LAC,LA Clippers,47.9,18.4,1.8,16.6,9.8,90.2
2019-20,Regular+Season,LAL,Los Angeles Lakers,47.9,15.9,2.6,13.2,16.7,83.3
2019-20,Regular+Season,MEM,Memphis Grizzlies,48.0,16.1,2.2,13.8,13.7,86.1
2019-20,Regular+Season,MIA,Miami Heat,48.5,19.2,1.5,17.7,7.9,92.1
2019-20,Regular+Season,MIL,Milwaukee Bucks,48.1,17.5,1.6,15.9,8.9,91.1
2019-20,Regular+Season,MIN,Minnesota Timberwolves,48.4,13.0,1.2,11.8,9.4,90.6
2019-20,Regular+Season,NOP,New Orleans Pelicans,48.2,15.7,1.2,14.5,7.5,92.5
2019-20,Regular+Season,NYK,New York Knicks,48.1,17.6,2.5,15.1,14.3,85.7
2019-20,Regular+Season,OKC,Oklahoma City Thunder,48.3,15.0,1.5,13.5,9.9,90.1
2019-20,Regular+Season,ORL,Orlando Magic,48.0,14.5,1.6,12.9,11.2,88.8
2019-20,Regular+Season,PHI,Philadelphia 76ers,48.1,15.7,2.1,13.6,13.5,86.5
2019-20,Regular+Season,PHX,Phoenix Suns,48.0,15.6,1.6,14.0,10.1,89.9
2019-20,Regular+Season,POR,Portland Trail Blazers,47.9,13.5,2.1,11.4,15.4,84.6
2019-20,Regular+Season,SAC,Sacramento Kings,48.3,14.0,1.5,12.5,10.8,89.2
2019-20,Regular+Season,SAS,San Antonio Spurs,48.3,15.4,1.1,14.3,7.4,92.6
2019-20,Regular+Season,TOR,Toronto Raptors,48.0,18.4,1.4,17.0,7.8,92.2
2019-20,Regular+Season,UTA,Utah Jazz,48.0,18.1,1.7,16.4,9.6,90.4
2019-20,Regular+Season,WAS,Washington Wizards,48.0,15.1,1.3,13.8,8.7,91.3
2019-20,Playoffs,BOS,Boston Celtics,48.7,20.1,2.1,17.9,10.6,89.4
2019-20,Playoffs,BKN,Brooklyn Nets,47.5,12.0,0.5,11.5,4.2,95.8
2019-20,Playoffs,DAL,Dallas Mavericks,48.6,14.7,1.5,13.2,10.2,89.8
2019-20,Playoffs,DEN,Denver Nuggets,47.9,14.5,1.3,13.1,9.1,90.5
2019-20,Playoffs,HOU,Houston Rockets,48.1,20.5,1.2,19.3,5.7,94.3
2019-20,Playoffs,IND,Indiana Pacers,48.0,11.3,0.0,11.3,0.0,100
2019-20,Playoffs,LAC,LA Clippers,47.7,18.6,0.9,17.7,5.0,95.0
2019-20,Playoffs,LAL,Los Angeles Lakers,47.8,12.4,2.9,9.5,23.4,76.6
2019-20,Playoffs,MIA,Miami Heat,48.4,17.8,1.1,16.7,6.2,93.8
2019-20,Playoffs,MIL,Milwaukee Bucks,48.4,14.9,0.8,14.1,5.4,94.6
2019-20,Playoffs,OKC,Oklahoma City Thunder,48.7,9.7,2.6,7.1,26.5,73.5
2019-20,Playoffs,ORL,Orlando Magic,47.7,12.2,0.4,11.8,3.3,96.7
2019-20,Playoffs,PHI,Philadelphia 76ers,47.5,21.5,3.5,18.0,16.3,83.7
2019-20,Playoffs,POR,Portland Trail Blazers,47.9,15.4,2.6,12.8,16.9,83.1
2019-20,Playoffs,TOR,Toronto Raptors,48.5,16.2,1.3,14.9,7.9,92.1
2019-20,Playoffs,UTA,Utah Jazz,48.4,24.4,0.9,23.6,3.5,96.5
2019-20,PlayIn,MEM,Memphis Grizzlies,48.0,22.0,1.0,21.0,4.5,95.5
2019-20,PlayIn,POR,Portland Trail Blazers,48.0,17.0,1.0,16.0,5.9,94.1
2019-20,IST,NOP,New Orleans Pelicans,53.0,19.0,1.0,18.0,5.3,94.7
2019-20,IST,TOR,Toronto Raptors,53.0,23.0,1.0,22.0,4.3,95.7
2020-21,Pre+Season,ATL,Atlanta Hawks,47.8,16.3,1.5,14.8,9.2,90.8
2020-21,Pre+Season,BOS,Boston Celtics,48.0,11.0,2.5,8.5,22.7,77.3
2020-21,Pre+Season,BKN,Brooklyn Nets,47.4,19.0,2.5,16.5,13.2,86.8
2020-21,Pre+Season,CHA,Charlotte Hornets,47.4,16.0,1.0,15.0,6.3,93.8
2020-21,Pre+Season,CHI,Chicago Bulls,47.4,14.0,2.3,11.8,16.1,83.9
2020-21,Pre+Season,CLE,Cleveland Cavaliers,48.0,14.0,0.5,13.5,3.6,96.4
2020-21,Pre+Season,DAL,Dallas Mavericks,49.0,19.3,1.0,18.3,5.2,94.8
2020-21,Pre+Season,DEN,Denver Nuggets,47.8,12.7,3.0,9.7,23.7,76.3
2020-21,Pre+Season,DET,Detroit Pistons,47.7,15.5,1.0,14.5,6.5,93.5
2020-21,Pre+Season,GSW,Golden State Warriors,48.0,14.0,0.3,13.7,2.4,97.6
2020-21,Pre+Season,HOU,Houston Rockets,47.2,9.0,2.0,7.0,22.2,77.8
2020-21,Pre+Season,IND,Indiana Pacers,47.9,13.0,0.3,12.7,2.6,97.4
2020-21,Pre+Season,LAC,LA Clippers,47.6,20.3,2.3,18.0,11.5,88.5
2020-21,Pre+Season,LAL,Los Angeles Lakers,48.0,18.3,0.8,17.5,4.1,95.9
2020-21,Pre+Season,MEM,Memphis Grizzlies,47.5,13.3,1.8,11.5,13.2,86.8
2020-21,Pre+Season,MIA,Miami Heat,47.3,17.5,0.0,17.5,0.0,100
2020-21,Pre+Season,MIL,Milwaukee Bucks,46.4,28.3,3.0,25.3,10.6,89.4
2020-21,Pre+Season,MIN,Minnesota Timberwolves,49.7,11.7,1.7,10.0,14.3,85.7
2020-21,Pre+Season,NOP,New Orleans Pelicans,48.0,19.0,3.0,16.0,15.8,84.2
2020-21,Pre+Season,NYK,New York Knicks,48.0,17.0,0.8,16.3,4.4,95.6
2020-21,Pre+Season,OKC,Oklahoma City Thunder,48.0,12.0,0.7,11.3,5.6,94.4
2020-21,Pre+Season,ORL,Orlando Magic,47.8,14.5,1.3,13.3,8.6,91.4
2020-21,Pre+Season,PHI,Philadelphia 76ers,48.0,7.5,3.5,4.0,46.7,53.3
2020-21,Pre+Season,PHX,Phoenix Suns,47.8,13.3,1.3,12.0,9.4,90.6
2020-21,Pre+Season,POR,Portland Trail Blazers,48.0,13.5,3.3,10.3,24.1,75.9
2020-21,Pre+Season,SAC,Sacramento Kings,47.7,9.8,1.0,8.8,10.3,89.7
2020-21,Pre+Season,SAS,San Antonio Spurs,48.0,11.0,1.3,9.7,12.1,87.9
2020-21,Pre+Season,TOR,Toronto Raptors,47.4,7.3,0.3,7.0,4.5,95.5
2020-21,Pre+Season,UTA,Utah Jazz,47.8,17.3,1.3,16.0,7.7,92.3
2020-21,Pre+Season,WAS,Washington Wizards,47.0,14.3,1.3,13.0,9.3,90.7
2020-21,Regular+Season,ATL,Atlanta Hawks,48.1,9.9,1.7,8.2,17.1,82.9
2020-21,Regular+Season,BOS,Boston Celtics,47.8,9.9,1.7,8.2,17.3,82.7
2020-21,Regular+Season,BKN,Brooklyn Nets,48.1,10.6,1.3,9.3,12.3,87.7
2020-21,Regular+Season,CHA,Charlotte Hornets,47.8,9.9,1.5,8.4,15.3,84.7
2020-21,Regular+Season,CHI,Chicago Bulls,48.0,9.8,1.7,8.1,17.3,82.7
2020-21,Regular+Season,CLE,Cleveland Cavaliers,48.1,8.3,1.6,6.7,19.1,80.9
2020-21,Regular+Season,DAL,Dallas Mavericks,47.6,9.9,1.3,8.6,12.8,87.2
2020-21,Regular+Season,DEN,Denver Nuggets,48.2,8.4,2.2,6.2,26.3,73.7
2020-21,Regular+Season,DET,Detroit Pistons,48.0,9.1,1.6,7.6,17.3,82.7
2020-21,Regular+Season,GSW,Golden State Warriors,47.8,10.6,0.8,9.8,7.7,92.2
2020-21,Regular+Season,HOU,Houston Rockets,47.7,9.6,1.5,8.0,16.1,83.9
2020-21,Regular+Season,IND,Indiana Pacers,48.2,8.8,1.4,7.4,15.8,84.2
2020-21,Regular+Season,LAC,LA Clippers,47.7,9.5,1.8,7.7,19.2,80.8
2020-21,Regular+Season,LAL,Los Angeles Lakers,48.2,9.8,2.2,7.6,22.2,77.8
2020-21,Regular+Season,MEM,Memphis Grizzlies,48.1,10.4,1.9,8.4,18.4,81.5
2020-21,Regular+Season,MIA,Miami Heat,48.0,11.9,1.4,10.4,12.1,87.9
2020-21,Regular+Season,MIL,Milwaukee Bucks,47.6,9.4,1.7,7.7,18.1,81.9
2020-21,Regular+Season,MIN,Minnesota Timberwolves,48.2,7.3,1.1,6.2,15.1,84.9
2020-21,Regular+Season,NOP,New Orleans Pelicans,48.0,8.8,2.3,6.5,26.0,74.0
2020-21,Regular+Season,NYK,New York Knicks,48.2,10.4,1.5,8.8,14.9,85.1
2020-21,Regular+Season,OKC,Oklahoma City Thunder,48.0,7.9,1.0,6.9,13.2,86.8
2020-21,Regular+Season,ORL,Orlando Magic,48.0,7.7,1.6,6.2,20.3,79.7
2020-21,Regular+Season,PHI,Philadelphia 76ers,47.9,9.2,2.2,7.0,23.7,76.3
2020-21,Regular+Season,PHX,Phoenix Suns,48.3,8.8,1.5,7.3,17.4,82.6
2020-21,Regular+Season,POR,Portland Trail Blazers,47.8,8.2,2.6,5.6,31.8,68.2
2020-21,Regular+Season,SAC,Sacramento Kings,47.7,8.9,1.5,7.4,16.8,83.2
2020-21,Regular+Season,SAS,San Antonio Spurs,48.1,7.9,1.2,6.7,15.1,84.7
2020-21,Regular+Season,TOR,Toronto Raptors,47.8,10.6,1.1,9.5,10.3,89.7
2020-21,Regular+Season,UTA,Utah Jazz,47.9,9.5,1.7,7.8,17.9,82.1
2020-21,Regular+Season,WAS,Washington Wizards,48.1,10.6,1.5,9.1,14.3,85.7
2020-21,Playoffs,ATL,Atlanta Hawks,46.9,9.2,1.8,7.4,19.3,80.7
2020-21,Playoffs,BOS,Boston Celtics,47.7,7.6,2.8,4.8,36.8,63.2
2020-21,Playoffs,BKN,Brooklyn Nets,47.6,10.8,0.7,10.2,6.2,93.8
2020-21,Playoffs,DAL,Dallas Mavericks,46.4,6.1,1.7,4.4,27.9,72.1
2020-21,Playoffs,DEN,Denver Nuggets,48.5,8.0,3.2,4.8,40.0,60.0
2020-21,Playoffs,LAC,LA Clippers,47.4,9.7,1.2,8.6,11.9,88.1
2020-21,Playoffs,LAL,Los Angeles Lakers,47.8,6.8,2.2,4.7,31.7,68.3
2020-21,Playoffs,MEM,Memphis Grizzlies,47.0,7.8,1.2,6.6,15.4,84.6
2020-21,Playoffs,MIA,Miami Heat,48.9,13.3,2.0,11.3,15.1,84.9
2020-21,Playoffs,MIL,Milwaukee Bucks,47.7,9.2,2.0,7.2,21.7,77.8
2020-21,Playoffs,NYK,New York Knicks,48.0,15.4,1.8,13.6,11.7,88.3
2020-21,Playoffs,PHI,Philadelphia 76ers,47.5,11.3,1.9,9.3,17.0,83.0
2020-21,Playoffs,PHX,Phoenix Suns,47.6,8.4,0.7,7.6,8.7,91.3
2020-21,Playoffs,POR,Portland Trail Blazers,48.6,7.2,1.5,5.7,20.9,79.1
2020-21,Playoffs,UTA,Utah Jazz,47.5,5.9,1.4,4.5,23.1,76.9
2020-21,Playoffs,WAS,Washington Wizards,46.8,7.0,1.8,5.2,25.7,74.3
2020-21,PlayIn,BOS,Boston Celtics,46.8,7.0,3.0,4.0,42.9,57.1
2020-21,PlayIn,CHA,Charlotte Hornets,47.1,4.0,1.0,3.0,25.0,75.0
2020-21,PlayIn,GSW,Golden State Warriors,50.5,8.0,1.0,7.0,12.5,87.5
2020-21,PlayIn,IND,Indiana Pacers,48.0,8.0,2.0,6.0,25.0,75.0
2020-21,PlayIn,LAL,Los Angeles Lakers,48.0,4.0,1.0,3.0,25.0,75.0
2020-21,PlayIn,MEM,Memphis Grizzlies,50.5,12.5,3.0,9.5,24.0,76.0
2020-21,PlayIn,SAS,San Antonio Spurs,48.0,18.0,3.0,15.0,16.7,83.3
2020-21,PlayIn,WAS,Washington Wizards,47.6,9.5,1.5,8.0,15.8,84.2
2021-22,Pre+Season,ATL,Atlanta Hawks,47.7,5.3,0.5,4.8,9.5,90.5
2021-22,Pre+Season,BOS,Boston Celtics,47.7,8.8,2.3,6.5,25.7,74.3
2021-22,Pre+Season,BKN,Brooklyn Nets,48.0,8.5,2.3,6.3,26.5,73.5
2021-22,Pre+Season,CHA,Charlotte Hornets,47.7,6.5,1.3,5.3,19.2,80.8
2021-22,Pre+Season,CHI,Chicago Bulls,48.0,8.5,1.3,7.0,14.7,82.4
2021-22,Pre+Season,CLE,Cleveland Cavaliers,47.4,9.2,1.4,7.8,15.2,84.8
2021-22,Pre+Season,DAL,Dallas Mavericks,47.4,11.3,2.3,9.0,20.0,80.0
2021-22,Pre+Season,DEN,Denver Nuggets,39.2,5.2,2.4,2.8,46.2,53.8
2021-22,Pre+Season,DET,Detroit Pistons,48.0,9.5,2.8,6.8,28.9,71.1
2021-22,Pre+Season,GSW,Golden State Warriors,48.0,6.8,1.0,5.8,14.7,85.3
2021-22,Pre+Season,HOU,Houston Rockets,47.7,10.5,2.5,8.0,23.8,76.2
2021-22,Pre+Season,IND,Indiana Pacers,47.3,9.3,2.3,7.0,24.3,75.7
2021-22,Pre+Season,LAC,LA Clippers,47.1,7.3,1.8,5.5,24.1,75.9
2021-22,Pre+Season,LAL,Los Angeles Lakers,47.3,6.7,2.3,4.3,35.0,65.0
2021-22,Pre+Season,MEM,Memphis Grizzlies,47.5,7.3,1.8,5.5,25.0,75.0
2021-22,Pre+Season,MIA,Miami Heat,47.8,10.5,0.8,9.7,7.9,92.1
2021-22,Pre+Season,MIL,Milwaukee Bucks,46.2,7.0,1.6,5.4,22.9,77.1
2021-22,Pre+Season,MIN,Minnesota Timberwolves,48.1,9.3,2.0,7.3,21.6,78.4
2021-22,Pre+Season,NOP,New Orleans Pelicans,47.9,9.8,2.3,7.5,23.1,76.9
2021-22,Pre+Season,NYK,New York Knicks,47.6,11.8,2.5,9.3,21.3,78.7
2021-22,Pre+Season,OKC,Oklahoma City Thunder,48.0,4.7,0.7,4.0,14.3,85.7
2021-22,Pre+Season,ORL,Orlando Magic,46.8,8.0,2.8,5.3,34.4,65.6
2021-22,Pre+Season,PHI,Philadelphia 76ers,47.7,6.0,1.3,4.8,20.8,79.2
2021-22,Pre+Season,PHX,Phoenix Suns,48.0,7.0,2.8,4.3,39.3,60.7
2021-22,Pre+Season,POR,Portland Trail Blazers,47.8,5.5,1.0,4.5,18.2,81.8
2021-22,Pre+Season,SAC,Sacramento Kings,47.7,6.5,1.8,4.8,26.9,73.1
2021-22,Pre+Season,SAS,San Antonio Spurs,47.0,8.6,2.0,6.6,23.3,76.7
2021-22,Pre+Season,TOR,Toronto Raptors,47.8,10.8,1.8,9.0,16.7,83.3
2021-22,Pre+Season,UTA,Utah Jazz,47.9,12.8,1.3,11.5,9.8,90.2
2021-22,Pre+Season,WAS,Washington Wizards,47.6,12.0,2.3,9.8,18.8,81.3
2021-22,Regular+Season,ATL,Atlanta Hawks,47.5,9.0,1.5,7.6,16.2,83.8
2021-22,Regular+Season,BOS,Boston Celtics,48.1,10.0,1.7,8.3,17.1,82.9
