SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2017-18,Regular+Season,GSW,Golden State Warriors,29,19,10,3.8,0.8,0.3,1.8,2.8,1.5,1.1,0.7,2.8
2017-18,Regular+Season,ATL,Atlanta Hawks,44,17,27,3.4,1.3,1.1,0.9,3.0,1.0,1.3,0.7,3.1
2017-18,Regular+Season,CHA,Charlotte Hornets,41,16,25,3.7,1.3,0.9,0.4,3.0,1.1,0.5,0.5,3.3
2017-18,Regular+Season,PHX,Phoenix Suns,38,16,22,3.0,0.8,0.7,0.4,1.9,1.2,1.0,0.7,2.9
2017-18,Regular+Season,UTA,Utah Jazz,29,16,13,3.7,1.4,0.9,1.2,3.9,1.6,1.7,0.7,3.2
2017-18,Regular+Season,ORL,Orlando Magic,41,14,27,3.1,0.6,0.7,0.4,2.1,1.1,1.0,0.8,2.9
2017-18,Regular+Season,DAL,Dallas Mavericks,50,12,38,3.4,0.8,0.8,0.5,2.3,1.1,1.0,0.6,3.8
2017-18,Regular+Season,MEM,Memphis Grizzlies,41,12,29,3.6,1.3,1.1,0.7,2.3,0.6,0.8,0.5,2.5
2017-18,Regular+Season,NYK,New York Knicks,35,12,23,4.0,1.1,1.1,0.6,2.9,1.1,1.8,0.5,2.9
2017-18,Playoffs,CLE,Cleveland Cavaliers,10,7,3,4.1,1.4,1.9,0.5,2.6,0.8,0.4,0.9,2.8
2017-18,Playoffs,BOS,Boston Celtics,8,5,3,4.9,1.5,1.5,0.3,4.8,0.6,1.3,1.5,4.8
2017-18,Playoffs,GSW,Golden State Warriors,7,4,3,3.1,1.6,0.7,1.1,2.3,0.9,2.0,0.0,1.4
2017-18,Playoffs,HOU,Houston Rockets,4,4,0,3.2,1.0,0.5,0.8,1.5,0.8,1.3,1.0,1.0
2017-18,Playoffs,NOP,New Orleans Pelicans,4,3,1,2.8,1.0,2.3,0.0,2.0,0.5,2.0,1.8,2.0
2017-18,Playoffs,MIL,Milwaukee Bucks,4,2,2,4.1,0.8,1.0,1.8,5.0,0.8,1.8,0.0,2.5
2017-18,Playoffs,TOR,Toronto Raptors,5,2,3,4.1,0.4,1.2,1.0,2.8,1.0,0.4,1.4,3.2
2017-18,Playoffs,UTA,Utah Jazz,4,2,2,2.9,0.0,0.3,0.0,2.0,0.5,0.5,0.5,2.0
2017-18,Playoffs,IND,Indiana Pacers,5,1,4,2.6,0.0,0.4,0.0,1.6,1.4,1.0,0.6,2.0
2017-18,Playoffs,MIA,Miami Heat,2,1,1,2.5,2.0,0.0,1.0,3.0,0.0,2.5,0.0,3.0
2017-18,Playoffs,OKC,Oklahoma City Thunder,3,1,2,3.3,0.0,0.7,0.7,2.7,0.0,0.3,0.0,2.7
2017-18,Playoffs,PHI,Philadelphia 76ers,5,1,4,4.9,0.4,1.8,0.6,4.4,2.6,1.0,0.8,6.8
2017-18,Playoffs,SAS,San Antonio Spurs,2,1,1,1.2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2017-18,Playoffs,WAS,Washington Wizards,3,1,2,2.1,0.7,0.0,2.3,2.7,0.0,1.3,0.7,2.0
2017-18,Playoffs,MIN,Minnesota Timberwolves,1,0,1,2.1,0.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0
2017-18,Playoffs,POR,Portland Trail Blazers,3,0,3,3.7,0.7,2.7,2.3,2.7,1.3,3.0,0.0,2.7
2017-18,All+Star,Team LeBron,Team LeBron,1,1,0,4.8,4.0,2.0,2.0,10.0,0.0,2.0,0.0,8.0
2017-18,All+Star,Team Stephen,Team Stephen,1,0,1,4.8,0.0,2.0,0.0,8.0,4.0,2.0,2.0,10.0
2018-19,Pre+Season,CHA,Charlotte Hornets,4,3,1,3.6,1.8,2.0,1.5,3.5,2.0,1.0,1.5,6.0
2018-19,Pre+Season,NYK,New York Knicks,4,3,1,4.2,2.5,1.0,1.8,2.5,1.8,2.0,0.8,5.0
2018-19,Pre+Season,BKN,Brooklyn Nets,3,2,1,5.1,1.3,2.0,0.7,5.3,3.3,1.7,1.3,3.3
2018-19,Pre+Season,DEN,Denver Nuggets,3,2,1,3.8,1.3,1.7,1.7,1.3,1.0,2.3,2.0,4.0
2018-19,Pre+Season,LAL,Los Angeles Lakers,3,2,1,3.6,3.0,2.3,1.3,6.0,2.0,1.7,1.0,2.7
2018-19,Pre+Season,MIA,Miami Heat,4,2,2,3.4,0.3,2.0,0.3,2.5,2.3,0.5,0.5,4.5
2018-19,Pre+Season,WAS,Washington Wizards,3,2,1,6.3,3.0,0.7,1.7,10.0,3.0,3.7,1.0,2.7
2018-19,Pre+Season,ATL,Atlanta Hawks,2,1,1,4.3,1.0,1.0,0.0,5.0,1.0,2.0,1.0,6.0
2018-19,Pre+Season,BOS,Boston Celtics,3,1,2,2.6,1.3,0.7,0.7,5.3,0.7,1.3,1.0,3.3
2018-19,Pre+Season,CLE,Cleveland Cavaliers,1,1,0,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2018-19,Pre+Season,DAL,Dallas Mavericks,3,1,2,3.7,3.0,0.7,1.3,4.0,1.7,2.0,1.0,5.3
2018-19,Pre+Season,DET,Detroit Pistons,3,1,2,6.5,2.7,3.7,0.0,4.7,1.3,0.0,1.3,5.3
2018-19,Pre+Season,LAC,LA Clippers,1,1,0,2.3,0.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0
2018-19,Pre+Season,MEM,Memphis Grizzlies,1,1,0,9.9,5.0,0.0,0.0,8.0,2.0,2.0,2.0,6.0
2018-19,Pre+Season,MIN,Minnesota Timberwolves,1,1,0,5.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,4.0
2018-19,Pre+Season,OKC,Oklahoma City Thunder,2,1,1,6.7,4.0,1.0,2.0,2.0,1.0,0.0,0.0,4.0
2018-19,Pre+Season,PHI,Philadelphia 76ers,2,1,1,3.0,0.0,1.0,0.0,5.0,2.5,0.0,0.0,2.0
2018-19,Pre+Season,PHX,Phoenix Suns,2,1,1,2.8,1.0,1.0,1.0,4.0,2.0,0.0,0.0,3.0
2018-19,Pre+Season,POR,Portland Trail Blazers,2,1,1,3.4,0.5,3.0,0.5,5.0,4.5,2.0,1.0,1.0
2018-19,Pre+Season,SAC,Sacramento Kings,3,1,2,4.9,4.0,0.7,0.0,4.0,2.7,3.3,1.3,8.7
2018-19,Pre+Season,SAS,San Antonio Spurs,2,1,1,2.9,2.0,0.0,2.0,5.0,0.0,1.5,0.5,3.0
2018-19,Pre+Season,UTA,Utah Jazz,1,1,0,1.8,4.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0
2018-19,Pre+Season,CHI,Chicago Bulls,2,0,2,2.9,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0
2018-19,Pre+Season,GSW,Golden State Warriors,2,0,2,2.7,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0
2018-19,Pre+Season,IND,Indiana Pacers,1,0,1,9.9,2.0,2.0,2.0,6.0,5.0,0.0,0.0,8.0
2018-19,Pre+Season,MIL,Milwaukee Bucks,1,0,1,8.7,2.0,0.0,0.0,2.0,8.0,2.0,4.0,4.0
2018-19,Pre+Season,NOP,New Orleans Pelicans,1,0,1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2018-19,Pre+Season,New Zealand Breakers,New Zealand Breakers,1,0,1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,Pre+Season,ORL,Orlando Magic,1,0,1,5.2,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
2018-19,Regular+Season,DEN,Denver Nuggets,46,31,15,3.3,1.2,1.5,0.3,3.6,1.3,0.7,0.7,3.1
2018-19,Regular+Season,PHI,Philadelphia 76ers,45,30,15,3.7,0.8,1.0,0.5,2.8,1.4,1.3,0.7,3.1
2018-19,Regular+Season,LAC,LA Clippers,43,27,16,3.6,1.5,1.0,0.7,3.2,1.4,1.0,0.6,3.1
2018-19,Regular+Season,POR,Portland Trail Blazers,42,25,17,3.4,0.8,1.8,0.5,3.3,0.8,1.2,0.9,3.1
2018-19,Regular+Season,BKN,Brooklyn Nets,44,24,20,4.2,1.2,1.4,0.4,3.6,1.5,1.9,0.7,3.6
2018-19,Regular+Season,HOU,Houston Rockets,41,24,17,3.6,0.8,1.0,0.6,2.4,1.0,0.7,0.8,3.1
2018-19,Regular+Season,SAC,Sacramento Kings,49,24,25,3.3,1.4,1.2,0.9,3.0,0.8,1.1,0.5,3.2
2018-19,Regular+Season,SAS,San Antonio Spurs,40,24,16,4.0,0.9,0.9,0.8,3.3,1.1,1.1,0.7,3.6
2018-19,Regular+Season,BOS,Boston Celtics,42,23,19,3.5,1.3,0.9,0.8,3.3,0.7,1.2,0.6,2.9
2018-19,Regular+Season,IND,Indiana Pacers,41,23,18,3.0,0.9,1.0,0.5,2.5,0.9,0.8,0.6,2.3
2018-19,Regular+Season,TOR,Toronto Raptors,38,23,15,4.6,1.9,1.6,0.9,3.4,1.1,1.0,0.6,3.6
2018-19,Regular+Season,MIL,Milwaukee Bucks,36,22,14,3.8,1.6,1.4,1.0,4.4,1.1,1.0,0.6,2.9
2018-19,Regular+Season,OKC,Oklahoma City Thunder,46,22,24,3.8,1.4,1.2,0.7,3.0,0.9,1.4,0.6,3.7
2018-19,Regular+Season,ORL,Orlando Magic,47,22,25,3.5,0.9,1.0,0.4,3.2,1.5,0.6,0.7,2.6
2018-19,Regular+Season,LAL,Los Angeles Lakers,43,21,22,3.3,1.1,1.0,1.2,3.6,1.0,1.0,0.5,2.2
2018-19,Regular+Season,MIA,Miami Heat,45,21,24,3.5,1.1,0.9,0.7,3.2,1.1,1.0,0.6,2.9
2018-19,Regular+Season,ATL,Atlanta Hawks,41,20,21,4.0,1.2,0.9,0.6,4.3,1.1,1.2,0.7,4.1
2018-19,Regular+Season,DAL,Dallas Mavericks,46,20,26,3.7,1.0,1.1,0.6,3.1,1.0,0.7,0.7,3.5
2018-19,Regular+Season,DET,Detroit Pistons,42,20,22,4.1,1.0,1.3,0.4,3.7,1.5,0.7,0.6,3.5
2018-19,Regular+Season,GSW,Golden State Warriors,35,20,15,3.9,1.4,0.8,0.7,2.5,1.1,1.2,0.9,3.0
2018-19,Regular+Season,MEM,Memphis Grizzlies,47,19,28,4.1,1.3,0.7,0.4,3.0,1.3,1.3,1.0,3.9
2018-19,Regular+Season,MIN,Minnesota Timberwolves,45,19,26,3.8,1.0,1.5,0.5,3.2,1.2,1.3,0.6,3.4
2018-19,Regular+Season,CHA,Charlotte Hornets,39,18,21,4.1,1.0,1.2,0.5,2.7,0.8,0.9,0.7,3.6
2018-19,Regular+Season,NOP,New Orleans Pelicans,45,17,28,3.2,1.2,0.9,0.3,3.3,0.8,0.9,0.6,3.5
2018-19,Regular+Season,CHI,Chicago Bulls,39,15,24,4.2,1.2,0.6,0.5,3.4,1.3,1.2,0.6,3.7
2018-19,Regular+Season,UTA,Utah Jazz,33,15,18,3.3,1.0,1.3,0.9,3.7,1.5,1.4,0.3,3.2
2018-19,Regular+Season,WAS,Washington Wizards,39,15,24,4.6,1.4,1.6,1.1,4.7,1.8,2.1,0.8,4.6
2018-19,Regular+Season,CLE,Cleveland Cavaliers,34,13,21,3.0,0.8,1.0,0.6,2.4,0.7,1.1,0.5,2.1
2018-19,Regular+Season,PHX,Phoenix Suns,33,12,21,4.5,1.2,1.3,1.0,4.5,2.0,1.8,0.5,4.6
2018-19,Regular+Season,NYK,New York Knicks,34,11,23,3.8,1.1,0.6,0.8,2.8,1.1,1.4,0.4,3.1
2018-19,Playoffs,GSW,Golden State Warriors,13,8,5,4.5,1.5,2.5,0.5,3.1,1.5,1.5,0.8,3.2
2018-19,Playoffs,TOR,Toronto Raptors,12,7,5,4.8,2.6,2.9,0.8,3.0,1.3,1.8,1.0,3.5
2018-19,Playoffs,POR,Portland Trail Blazers,9,5,4,5.9,2.7,2.2,0.7,4.0,0.6,2.6,0.6,5.8
2018-19,Playoffs,HOU,Houston Rockets,8,4,4,4.3,0.3,1.3,0.8,2.8,1.9,1.9,0.9,2.5
2018-19,Playoffs,BOS,Boston Celtics,4,3,1,1.9,1.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2018-19,Playoffs,DEN,Denver Nuggets,7,3,4,6.3,1.0,1.4,0.6,4.9,3.1,2.1,0.6,4.0
2018-19,Playoffs,LAC,LA Clippers,2,2,0,4.3,4.5,0.0,2.0,5.0,1.0,2.0,0.0,4.0
2018-19,Playoffs,MIL,Milwaukee Bucks,5,2,3,5.8,0.8,3.2,0.8,5.2,2.8,4.0,1.2,3.2
2018-19,Playoffs,PHI,Philadelphia 76ers,4,2,2,4.4,2.0,1.3,1.0,3.5,2.8,1.8,0.5,2.0
2018-19,Playoffs,OKC,Oklahoma City Thunder,3,1,2,1.7,0.3,1.0,0.3,2.0,1.3,0.7,0.0,1.3
2018-19,Playoffs,ORL,Orlando Magic,2,1,1,3.1,2.0,1.0,2.0,3.0,0.0,2.0,0.0,4.0
2018-19,Playoffs,SAS,San Antonio Spurs,3,1,2,3.5,0.7,0.0,0.0,0.7,1.0,0.7,0.0,1.3
2018-19,Playoffs,BKN,Brooklyn Nets,1,0,1,5.1,5.0,3.0,0.0,4.0,4.0,3.0,0.0,8.0
2018-19,Playoffs,IND,Indiana Pacers,3,0,3,2.6,0.0,0.0,0.0,0.0,1.7,0.0,0.0,2.7
2018-19,Playoffs,UTA,Utah Jazz,2,0,2,4.7,0.0,0.0,0.0,4.0,1.0,0.5,1.5,2.0
2018-19,All+Star,-,-,1,1,0,0.9,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2018-19,All+Star,-,-,1,0,1,0.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
2019-20,Pre+Season,DEN,Denver Nuggets,5,4,1,1.8,1.0,1.0,1.0,1.2,1.0,0.0,0.0,1.2
2019-20,Pre+Season,IND,Indiana Pacers,5,3,2,2.5,0.0,0.8,0.0,3.2,2.0,0.4,0.4,2.4
2019-20,Pre+Season,LAL,Los Angeles Lakers,5,3,2,2.0,1.0,0.0,0.4,1.6,0.4,0.8,0.0,0.8
2019-20,Pre+Season,MIL,Milwaukee Bucks,3,3,0,2.6,0.3,0.3,0.7,3.3,1.0,1.3,0.3,0.7
2019-20,Pre+Season,NOP,New Orleans Pelicans,3,3,0,4.1,1.7,0.0,3.0,2.7,1.3,0.7,1.0,4.7
2019-20,Pre+Season,BKN,Brooklyn Nets,3,2,1,4.4,2.3,2.3,2.0,3.3,1.3,1.3,1.3,3.3
2019-20,Pre+Season,DAL,Dallas Mavericks,4,2,2,4.0,1.5,1.0,0.5,5.5,1.3,1.8,0.5,6.5
2019-20,Pre+Season,DET,Detroit Pistons,2,2,0,1.6,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0
2019-20,Pre+Season,HOU,Houston Rockets,3,2,1,3.7,2.0,1.7,0.0,4.0,2.7,1.7,3.3,4.0
2019-20,Pre+Season,LAC,LA Clippers,3,2,1,3.3,0.7,1.0,0.7,3.3,1.0,1.0,1.0,1.3
2019-20,Pre+Season,TOR,Toronto Raptors,3,2,1,3.4,2.7,1.7,3.3,5.3,2.3,1.7,0.0,4.0
2019-20,Pre+Season,UTA,Utah Jazz,4,2,2,3.7,2.0,1.0,1.5,5.5,2.0,0.5,1.8,4.0
2019-20,Pre+Season,ATL,Atlanta Hawks,1,1,0,5.2,1.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0
2019-20,Pre+Season,BOS,Boston Celtics,1,1,0,1.9,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0
2019-20,Pre+Season,MEM,Memphis Grizzlies,3,1,2,1.1,0.0,0.7,0.0,0.7,0.3,0.3,0.0,0.7
2019-20,Pre+Season,MIA,Miami Heat,2,1,1,4.5,4.0,3.0,0.0,8.0,2.0,0.5,1.0,3.0
2019-20,Pre+Season,MIN,Minnesota Timberwolves,2,1,1,0.6,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0
2019-20,Pre+Season,NYK,New York Knicks,3,1,2,2.9,1.0,0.7,0.0,2.0,1.0,0.0,0.0,0.7
2019-20,Pre+Season,OKC,Oklahoma City Thunder,2,1,1,2.5,1.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2019-20,Pre+Season,ORL,Orlando Magic,3,1,2,1.7,0.0,0.0,0.0,0.0,0.7,0.7,0.0,1.3
2019-20,Pre+Season,PHI,Philadelphia 76ers,3,1,2,5.2,1.0,2.7,0.7,6.7,1.7,0.7,0.7,6.0
2019-20,Pre+Season,PHX,Phoenix Suns,2,1,1,1.1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2019-20,Pre+Season,POR,Portland Trail Blazers,5,1,4,0.6,0.6,0.0,0.0,0.4,0.0,0.0,0.0,1.6
2019-20,Pre+Season,SAC,Sacramento Kings,3,1,2,5.5,4.0,1.0,1.0,3.3,1.3,3.7,0.0,8.7
2019-20,Pre+Season,SAS,San Antonio Spurs,2,1,1,2.8,0.0,1.0,0.0,1.0,2.5,2.0,1.5,2.0
2019-20,Pre+Season,CHA,Charlotte Hornets,2,0,2,1.1,1.5,1.5,0.0,0.0,2.0,0.5,0.0,0.0
2019-20,Pre+Season,CHI,Chicago Bulls,2,0,2,2.7,0.0,0.0,0.5,1.0,1.0,0.0,2.5,1.0
2019-20,Pre+Season,CLE,Cleveland Cavaliers,1,0,1,2.7,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0
2019-20,Pre+Season,GSW,Golden State Warriors,1,0,1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,Pre+Season,WAS,Washington Wizards,5,0,5,3.3,1.0,0.8,0.2,1.6,1.2,0.8,1.8,3.6
2019-20,Regular+Season,OKC,Oklahoma City Thunder,45,30,15,4.3,1.8,1.0,0.4,3.5,1.0,1.1,0.8,3.7
2019-20,Regular+Season,DEN,Denver Nuggets,45,29,16,3.9,1.0,1.5,0.4,3.5,0.9,0.9,0.4,3.2
2019-20,Regular+Season,UTA,Utah Jazz,41,28,13,3.5,1.0,1.1,0.7,3.2,0.6,1.0,0.3,2.8
2019-20,Regular+Season,PHI,Philadelphia 76ers,44,26,18,3.1,0.8,0.7,0.4,2.2,1.0,0.5,0.4,2.5
2019-20,Regular+Season,TOR,Toronto Raptors,37,25,12,3.5,1.2,0.5,0.8,3.1,0.9,0.6,0.6,2.4
2019-20,Regular+Season,BOS,Boston Celtics,42,23,19,3.4,0.8,0.8,0.5,3.0,1.1,1.2,0.4,2.4
2019-20,Regular+Season,IND,Indiana Pacers,36,22,14,4.2,1.3,1.1,0.3,2.9,1.3,1.4,0.4,3.4
2019-20,Regular+Season,POR,Portland Trail Blazers,37,22,15,3.6,1.4,0.8,0.7,3.5,0.5,1.5,0.7,3.6
2019-20,Regular+Season,BKN,Brooklyn Nets,40,20,20,4.4,1.1,1.8,0.4,4.8,1.6,1.3,1.1,3.6
2019-20,Regular+Season,LAL,Los Angeles Lakers,30,20,10,3.8,1.4,1.5,0.6,3.0,0.9,0.7,0.6,2.8
2019-20,Regular+Season,HOU,Houston Rockets,32,19,13,3.5,1.3,1.1,0.8,3.1,0.8,1.1,0.5,2.4
2019-20,Regular+Season,LAC,LA Clippers,32,19,13,4.0,1.0,1.5,1.0,3.4,1.3,1.4,0.6,3.4
2019-20,Regular+Season,SAC,Sacramento Kings,39,19,20,3.6,1.1,1.0,0.5,3.1,0.6,0.9,0.3,3.3
2019-20,Regular+Season,MIA,Miami Heat,36,18,18,4.3,1.3,1.3,0.5,3.1,1.1,1.5,0.7,4.2
2019-20,Regular+Season,SAS,San Antonio Spurs,45,18,27,3.9,1.2,0.8,0.6,3.2,0.8,1.4,0.7,3.3
2019-20,Regular+Season,CHA,Charlotte Hornets,34,17,17,4.4,1.4,1.1,0.8,3.8,1.1,1.0,0.5,3.6
2019-20,Regular+Season,DAL,Dallas Mavericks,41,17,24,4.0,0.6,1.3,0.3,3.1,1.3,1.3,0.7,3.2
2019-20,Regular+Season,MIL,Milwaukee Bucks,24,17,7,3.1,0.8,1.5,0.8,3.4,1.6,0.7,0.5,1.8
2019-20,Regular+Season,PHX,Phoenix Suns,37,16,21,3.5,1.0,0.9,0.9,3.1,1.3,0.8,0.5,3.3
2019-20,Regular+Season,NYK,New York Knicks,34,14,20,4.0,1.4,1.6,0.4,3.7,1.0,0.8,0.8,2.6
2019-20,Regular+Season,ORL,Orlando Magic,34,14,20,3.6,0.8,0.5,0.6,2.9,1.3,0.9,0.7,3.1
2019-20,Regular+Season,WAS,Washington Wizards,35,14,21,3.0,1.2,0.7,0.5,2.2,0.9,1.0,0.4,2.4
2019-20,Regular+Season,ATL,Atlanta Hawks,34,13,21,3.8,1.1,1.6,0.7,3.4,1.2,0.9,0.6,3.7
2019-20,Regular+Season,CHI,Chicago Bulls,38,13,25,3.1,1.1,1.0,0.4,2.0,1.2,1.5,0.2,3.1
2019-20,Regular+Season,CLE,Cleveland Cavaliers,29,13,16,4.6,0.7,2.2,0.4,3.7,2.0,1.8,1.2,4.2
2019-20,Regular+Season,MEM,Memphis Grizzlies,30,13,17,3.2,0.6,1.1,0.5,4.0,1.3,0.8,0.6,2.9
2019-20,Regular+Season,NOP,New Orleans Pelicans,41,13,28,3.5,0.8,0.5,0.5,2.3,0.9,1.3,0.7,3.4
2019-20,Regular+Season,MIN,Minnesota Timberwolves,33,11,22,3.4,1.0,1.4,0.6,2.9,0.8,1.0,0.4,2.6
2019-20,Regular+Season,DET,Detroit Pistons,30,10,20,4.0,0.8,1.2,0.7,3.1,1.4,1.6,0.5,3.6
2019-20,Regular+Season,GSW,Golden State Warriors,27,8,19,3.7,0.9,0.9,1.2,2.5,1.3,1.3,0.9,3.6
2019-20,Playoffs,MIA,Miami Heat,14,11,3,3.6,1.3,1.3,0.4,2.7,1.1,1.4,0.4,2.1
2019-20,Playoffs,BOS,Boston Celtics,13,6,7,4.0,1.0,1.2,0.6,2.9,1.8,0.8,0.8,2.6
2019-20,Playoffs,DEN,Denver Nuggets,11,6,5,3.5,1.8,1.4,0.2,2.0,0.7,1.0,0.2,2.2
2019-20,Playoffs,LAL,Los Angeles Lakers,10,6,4,2.6,0.7,1.4,0.7,1.8,0.9,0.3,0.2,1.0
2019-20,Playoffs,TOR,Toronto Raptors,6,4,2,4.8,1.7,0.8,1.7,3.0,1.7,0.8,0.3,4.7
2019-20,Playoffs,OKC,Oklahoma City Thunder,4,3,1,5.5,2.8,2.3,0.5,3.0,2.0,1.3,0.5,4.5
2019-20,Playoffs,LAC,LA Clippers,5,2,3,4.0,0.8,0.4,0.0,2.8,0.4,1.8,0.0,2.0
2019-20,Playoffs,DAL,Dallas Mavericks,2,1,1,6.4,1.0,3.5,0.0,4.0,1.0,1.0,0.0,5.0
2019-20,Playoffs,HOU,Houston Rockets,5,1,4,4.5,1.6,1.0,0.4,3.6,2.2,1.8,0.4,2.4
2019-20,Playoffs,MIL,Milwaukee Bucks,5,1,4,3.7,1.4,0.8,0.4,1.6,0.0,2.4,0.0,2.8
2019-20,Playoffs,POR,Portland Trail Blazers,2,1,1,2.7,0.0,0.0,0.0,1.0,2.5,0.0,1.0,3.0
2019-20,Playoffs,UTA,Utah Jazz,4,1,3,5.1,1.5,1.3,0.0,4.5,4.0,2.5,0.0,4.0
2019-20,Playoffs,BKN,Brooklyn Nets,1,0,1,2.4,2.0,0.0,0.0,2.0,2.0,0.0,5.0,4.0
2019-20,Playoffs,IND,Indiana Pacers,1,0,1,4.2,4.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0
2019-20,Playoffs,PHI,Philadelphia 76ers,3,0,3,2.2,1.3,0.7,0.0,0.7,1.0,0.7,2.0,0.7
