SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT
2015-16,Regular+Season,ATL,Atlanta Hawks,82,48,34,241.8,442.7,25.9,8.0,12.8,62.2,2.4,3.0,78.4,18.7,72.3,9.4,36.4,1.6,6.1,1.3,4.9,1.4,5.3
2015-16,Regular+Season,BOS,Boston Celtics,81,47,34,241.2,439.4,25.8,8.7,14.8,58.4,3.1,4.3,72.5,20.7,80.3,6.9,26.6,0.9,3.3,1.2,4.5,2.0,7.6
2015-16,Regular+Season,BKN,Brooklyn Nets,82,21,61,240.9,409.9,24.9,8.3,14.3,57.9,2.7,4.0,67.0,19.7,79.1,6.3,25.4,1.0,3.8,1.3,5.3,1.8,7.3
2015-16,Regular+Season,CHA,Charlotte Hornets,82,48,34,242.1,414.1,19.8,6.4,10.7,60.0,2.7,3.5,76.8,15.8,80.1,5.9,29.7,0.9,4.6,0.8,4.3,1.6,8.3
2015-16,Regular+Season,CHI,Chicago Bulls,82,42,40,242.7,428.5,25.6,8.0,14.2,56.3,2.9,3.8,76.0,19.3,75.1,7.3,28.5,1.3,4.9,1.5,5.7,1.7,6.5
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,57,25,242.1,414.8,25.1,7.7,12.8,60.3,2.8,4.0,70.4,18.8,75.0,7.4,29.6,1.0,3.9,1.4,5.7,1.8,7.1
2015-16,Regular+Season,DAL,Dallas Mavericks,82,42,40,244.0,449.6,21.7,6.7,10.7,62.7,2.9,3.9,74.7,16.7,76.9,6.9,31.6,1.0,4.4,1.2,5.5,1.8,8.5
2015-16,Regular+Season,DEN,Denver Nuggets,82,33,49,241.8,411.1,28.9,10.1,17.1,59.0,3.5,4.8,72.2,24.1,83.4,7.1,24.5,0.9,3.2,1.5,5.4,2.2,7.6
2015-16,Regular+Season,DET,Detroit Pistons,82,44,38,242.4,384.2,27.3,9.3,16.6,56.4,3.0,5.2,57.5,21.9,80.4,6.2,22.6,0.6,2.3,1.4,5.1,2.4,8.9
2015-16,Regular+Season,GSW,Golden State Warriors,82,73,9,242.4,446.4,27.6,9.4,15.6,60.3,2.7,4.1,66.1,21.9,79.5,7.7,27.8,1.5,5.4,1.3,4.7,1.9,6.8
2015-16,Regular+Season,HOU,Houston Rockets,82,41,41,241.8,409.4,27.6,9.1,14.9,61.0,2.9,5.3,54.5,21.4,77.5,7.5,27.1,1.1,4.0,1.6,5.7,2.4,8.7
2015-16,Regular+Season,IND,Indiana Pacers,82,45,37,242.4,425.4,25.8,8.6,13.9,61.4,2.8,4.0,70.4,20.4,78.9,7.8,30.0,1.1,4.1,1.4,5.6,1.8,6.8
2015-16,Regular+Season,LAC,LA Clippers,82,53,29,241.8,405.6,22.5,8.0,12.2,65.4,2.5,4.2,58.7,18.7,83.2,6.0,26.9,0.6,2.5,1.2,5.5,1.8,8.2
2015-16,Regular+Season,LAL,Los Angeles Lakers,82,17,65,240.6,392.7,23.4,6.8,12.1,56.1,2.7,3.6,75.9,16.6,71.1,7.4,31.7,0.8,3.6,1.3,5.4,1.8,7.6
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,42,40,241.8,425.0,26.7,8.4,15.2,54.9,3.6,4.9,73.8,20.7,77.5,6.7,25.1,0.8,2.9,1.3,4.9,2.1,8.0
2015-16,Regular+Season,MIA,Miami Heat,82,48,34,241.8,415.2,26.6,9.4,14.8,63.3,3.5,5.0,71.7,22.9,86.2,6.8,25.7,0.9,3.2,1.5,5.6,2.2,8.3
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,33,49,241.8,407.7,29.4,10.2,16.9,60.5,3.5,5.0,69.8,24.2,82.5,7.6,26.0,1.0,3.4,1.6,5.3,2.3,7.9
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,29,53,242.4,400.9,26.5,9.2,15.1,61.3,4.6,5.7,79.4,23.7,89.5,6.0,22.9,0.6,2.4,1.5,5.9,2.6,10.0
2015-16,Regular+Season,NOP,New Orleans Pelicans,82,30,52,241.2,412.5,21.2,7.0,12.0,58.7,2.9,3.9,73.2,17.2,81.5,5.4,25.5,0.7,3.3,1.1,5.2,1.8,8.5
2015-16,Regular+Season,NYK,New York Knicks,82,32,50,241.5,458.0,26.0,8.1,14.5,56.3,3.5,4.3,80.9,20.2,77.8,7.0,26.8,1.0,3.7,1.5,5.6,2.0,7.6
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,55,27,241.8,380.6,29.3,9.7,15.7,61.8,3.0,4.4,67.6,22.8,77.8,8.5,29.1,1.0,3.5,1.7,5.9,2.1,7.0
2015-16,Regular+Season,ORL,Orlando Magic,81,35,46,242.5,425.1,23.1,8.1,13.7,59.6,2.5,3.4,74.1,19.3,83.4,6.1,26.3,0.8,3.5,1.0,4.4,1.6,6.8
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,10,72,241.5,450.4,22.7,7.9,12.9,61.3,2.8,4.2,66.2,18.9,83.4,5.6,24.8,0.7,3.1,1.4,6.2,2.0,8.9
2015-16,Regular+Season,PHX,Phoenix Suns,82,23,59,240.3,435.4,26.8,8.4,14.6,57.6,3.4,4.8,71.0,20.7,77.1,7.3,27.2,0.8,3.1,1.6,6.1,2.2,8.2
2015-16,Regular+Season,POR,Portland Trail Blazers,82,44,38,241.5,401.8,22.9,6.8,11.4,59.4,2.5,3.9,64.8,16.4,71.4,7.5,32.7,1.0,4.5,1.4,6.0,1.8,7.9
2015-16,Regular+Season,SAC,Sacramento Kings,81,33,48,241.5,406.5,28.4,10.0,16.7,59.8,3.0,4.3,68.4,23.4,82.2,7.1,24.8,1.0,3.5,1.6,5.5,1.9,6.7
2015-16,Regular+Season,SAS,San Antonio Spurs,82,67,15,240.3,444.1,26.1,8.9,14.0,63.8,3.5,4.4,80.2,21.8,83.4,8.1,30.9,1.1,4.2,1.0,4.0,2.0,7.6
2015-16,Regular+Season,TOR,Toronto Raptors,81,55,26,240.9,420.9,21.4,6.7,11.5,57.9,2.8,4.0,68.4,16.4,76.8,5.9,27.7,0.6,2.8,1.0,4.7,1.9,8.8
2015-16,Regular+Season,UTA,Utah Jazz,82,40,42,243.4,468.5,24.0,6.9,11.7,58.7,3.1,4.6,66.2,17.1,71.3,7.9,32.7,1.0,4.0,1.4,5.8,2.1,8.6
2015-16,Regular+Season,WAS,Washington Wizards,82,41,41,240.9,414.8,25.1,8.5,14.0,60.6,2.6,3.9,67.9,20.0,79.7,7.1,28.3,0.8,3.3,1.4,5.4,1.8,7.0
2015-16,Playoffs,ATL,Atlanta Hawks,10,4,6,242.5,439.2,22.4,7.8,12.4,62.9,2.2,2.8,78.6,18.3,81.7,6.7,29.9,0.9,4.0,1.6,7.1,1.1,4.9
2015-16,Playoffs,BOS,Boston Celtics,6,2,4,244.2,456.7,22.8,7.5,12.7,59.2,1.7,2.3,71.4,16.7,73.0,6.3,27.7,0.5,2.2,1.7,7.3,1.2,5.1
2015-16,Playoffs,CHA,Charlotte Hornets,7,3,4,240.0,365.4,15.7,4.7,9.1,51.6,3.1,4.0,78.6,12.9,81.8,4.0,25.5,0.0,0.0,0.3,1.8,2.0,12.7
2015-16,Playoffs,CLE,Cleveland Cavaliers,21,16,5,240.0,382.1,21.8,7.0,11.0,64.3,2.6,3.7,71.4,16.9,77.5,6.5,30.0,0.8,3.7,1.0,4.4,1.7,7.7
2015-16,Playoffs,DAL,Dallas Mavericks,5,1,4,240.0,420.8,21.8,6.2,11.2,55.4,3.2,5.2,61.5,15.4,70.6,6.4,29.4,1.0,4.6,0.6,2.8,2.0,9.2
2015-16,Playoffs,DET,Detroit Pistons,4,0,4,240.0,347.8,16.5,7.0,10.3,68.3,0.5,0.5,100,14.8,89.4,3.8,22.7,0.8,4.5,0.5,3.0,0.3,1.5
2015-16,Playoffs,GSW,Golden State Warriors,24,15,9,241.0,435.4,25.9,7.7,12.8,60.1,2.8,3.8,74.4,18.5,71.2,8.9,34.2,1.4,5.5,1.6,6.1,1.6,6.3
2015-16,Playoffs,HOU,Houston Rockets,5,1,4,240.0,397.4,29.8,7.8,14.6,53.4,2.8,5.2,53.8,19.0,63.8,10.0,33.6,1.2,4.0,1.2,4.0,2.4,8.1
2015-16,Playoffs,IND,Indiana Pacers,7,3,4,240.0,386.0,23.6,6.7,13.0,51.6,2.1,3.4,62.5,15.9,67.3,6.7,28.5,1.0,4.2,1.4,6.1,1.7,7.3
2015-16,Playoffs,LAC,LA Clippers,6,2,4,240.0,386.2,19.3,7.2,11.2,64.2,1.5,4.0,37.5,16.3,84.5,5.5,28.4,0.7,3.4,0.2,0.9,1.7,8.6
2015-16,Playoffs,MEM,Memphis Grizzlies,4,0,4,240.0,398.0,26.8,7.8,15.8,49.2,4.3,5.0,85.0,19.8,73.8,5.8,21.5,0.3,0.9,2.0,7.5,2.5,9.3
2015-16,Playoffs,MIA,Miami Heat,14,7,7,245.4,385.0,20.6,6.4,9.9,64.5,3.5,4.9,71.0,16.6,80.6,5.7,27.7,0.6,2.8,1.5,7.3,2.4,11.4
2015-16,Playoffs,OKC,Oklahoma City Thunder,18,11,7,240.0,339.3,24.2,8.7,13.8,63.3,2.6,3.6,73.4,20.6,84.9,7.1,29.4,0.9,3.7,0.9,3.9,1.6,6.4
2015-16,Playoffs,POR,Portland Trail Blazers,11,5,6,242.3,388.0,27.1,6.5,12.5,52.6,2.3,4.2,54.3,15.5,57.0,9.6,35.6,1.5,5.7,1.8,6.7,1.8,6.7
2015-16,Playoffs,SAS,San Antonio Spurs,10,6,4,240.0,419.7,25.0,7.5,13.6,55.1,2.5,2.8,89.3,18.0,72.0,8.1,32.4,1.7,6.8,1.1,4.4,1.2,4.8
2015-16,Playoffs,TOR,Toronto Raptors,20,10,10,243.8,392.1,20.5,6.5,10.6,60.8,2.4,3.5,68.6,15.9,77.5,5.7,27.6,0.3,1.2,1.3,6.4,1.7,8.1
2016-17,Regular+Season,ATL,Atlanta Hawks,82,43,39,242.4,431.2,27.4,8.8,14.2,61.7,3.1,5.3,59.5,21.1,77.0,8.2,29.7,1.5,5.4,1.6,5.8,2.5,9.2
2016-17,Regular+Season,BOS,Boston Celtics,82,53,29,240.9,442.4,22.9,8.1,13.0,62.6,2.0,2.9,69.2,18.7,81.6,6.9,30.0,1.1,4.7,1.0,4.5,1.3,5.9
2016-17,Regular+Season,BKN,Brooklyn Nets,81,20,61,240.9,433.3,21.3,7.4,11.9,62.3,2.5,3.2,77.1,17.7,83.0,6.0,28.0,0.9,4.1,1.2,5.8,1.4,6.8
2016-17,Regular+Season,CHA,Charlotte Hornets,82,36,46,241.8,408.1,20.9,6.9,11.0,62.6,2.8,3.6,79.3,17.1,81.6,6.8,32.3,1.0,4.6,0.8,4.0,1.7,8.2
2016-17,Regular+Season,CHI,Chicago Bulls,82,41,41,241.2,424.0,27.0,8.9,15.1,58.9,2.6,3.5,73.9,20.7,76.4,7.9,29.1,1.2,4.5,1.5,5.7,1.6,5.9
2016-17,Regular+Season,CLE,Cleveland Cavaliers,82,51,31,242.4,394.3,20.9,6.6,10.2,64.3,2.2,3.3,67.3,15.6,74.7,6.8,32.6,1.0,4.6,1.2,5.7,1.5,7.0
2016-17,Regular+Season,DAL,Dallas Mavericks,81,32,49,241.2,410.8,16.3,5.3,8.0,65.8,1.9,2.7,68.8,12.7,77.6,5.6,34.2,0.7,4.5,0.9,5.2,1.3,7.9
2016-17,Regular+Season,DEN,Denver Nuggets,81,39,42,240.9,419.4,27.5,10.0,16.1,62.4,3.3,4.5,73.4,23.9,86.9,7.0,25.3,1.2,4.3,1.3,4.9,2.1,7.8
2016-17,Regular+Season,DET,Detroit Pistons,82,37,45,241.5,397.9,25.3,9.5,16.0,59.6,2.5,4.3,58.5,22.1,87.1,5.2,20.6,0.5,2.1,1.1,4.3,2.0,7.9
2016-17,Regular+Season,GSW,Golden State Warriors,82,67,15,241.2,440.1,30.0,10.4,15.7,66.0,3.0,4.2,72.3,24.3,81.0,9.6,31.9,1.7,5.7,1.5,5.1,1.9,6.4
2016-17,Regular+Season,HOU,Houston Rockets,82,55,27,241.2,388.9,25.6,9.5,14.5,65.0,2.6,4.3,61.4,22.1,86.2,7.0,27.4,1.0,3.8,1.3,5.0,2.0,7.8
2016-17,Regular+Season,IND,Indiana Pacers,81,42,39,242.2,405.8,23.8,8.4,13.4,62.7,2.9,3.6,80.3,20.2,84.9,6.7,28.0,1.0,4.3,1.3,5.3,1.7,7.2
2016-17,Regular+Season,LAC,LA Clippers,82,51,31,240.9,419.9,21.7,8.2,12.3,66.5,2.7,4.3,63.8,19.5,89.5,5.3,24.3,0.7,3.2,1.2,5.4,2.0,9.3
2016-17,Regular+Season,LAL,Los Angeles Lakers,82,26,56,240.3,409.3,26.8,8.6,14.5,59.7,2.6,3.7,68.9,20.2,75.6,8.1,30.3,0.9,3.3,1.4,5.2,1.8,6.8
2016-17,Regular+Season,MEM,Memphis Grizzlies,82,43,39,242.7,422.1,24.5,8.1,14.5,55.5,3.0,4.0,76.1,19.6,80.0,5.8,23.5,0.8,3.3,1.3,5.4,1.9,7.8
2016-17,Regular+Season,MIA,Miami Heat,82,41,41,241.2,401.9,24.3,8.3,13.8,60.4,2.5,4.1,60.6,19.6,80.8,6.3,25.9,0.6,2.7,1.4,5.7,1.9,7.6
2016-17,Regular+Season,MIL,Milwaukee Bucks,82,42,40,241.2,403.9,26.4,9.2,15.1,61.1,3.2,4.5,71.8,22.2,84.2,6.8,25.7,0.9,3.5,1.4,5.4,2.1,7.8
2016-17,Regular+Season,MIN,Minnesota Timberwolves,82,31,51,241.5,405.4,26.9,9.4,15.3,61.3,3.2,4.1,77.9,22.5,84.0,7.4,27.5,1.0,3.7,1.4,5.0,2.0,7.5
2016-17,Regular+Season,NOP,New Orleans Pelicans,82,34,48,242.7,418.6,20.3,7.2,11.3,63.2,2.5,3.5,72.0,17.3,85.4,5.4,26.4,0.6,3.1,0.9,4.4,1.6,7.9
2016-17,Regular+Season,NYK,New York Knicks,82,31,51,242.1,447.7,25.8,8.2,14.0,58.3,2.5,3.5,72.3,19.2,74.6,7.8,30.2,1.0,4.1,1.4,5.5,1.6,6.4
2016-17,Regular+Season,OKC,Oklahoma City Thunder,82,47,35,241.5,379.6,30.0,9.3,16.1,57.9,3.5,5.2,68.2,22.7,75.6,8.5,28.3,0.9,3.0,1.6,5.4,2.5,8.3
2016-17,Regular+Season,ORL,Orlando Magic,82,29,53,241.5,414.9,23.6,8.1,13.5,60.3,2.8,4.0,69.1,19.3,81.6,6.4,27.1,0.8,3.2,1.1,4.7,1.9,8.0
2016-17,Regular+Season,PHI,Philadelphia 76ers,82,28,54,241.8,474.9,25.8,8.6,14.4,60.0,2.9,4.2,69.3,20.4,78.9,7.2,27.8,0.8,3.3,1.4,5.3,2.0,7.6
2016-17,Regular+Season,PHX,Phoenix Suns,80,23,57,241.9,422.7,25.9,9.2,15.3,60.3,3.3,4.4,75.1,22.0,84.9,6.5,25.0,0.6,2.3,1.1,4.3,2.0,7.7
2016-17,Regular+Season,POR,Portland Trail Blazers,82,41,41,243.1,397.0,23.0,6.8,11.8,57.9,2.6,3.9,67.1,16.6,72.2,7.0,30.5,1.1,4.7,1.5,6.3,1.8,8.0
2016-17,Regular+Season,SAC,Sacramento Kings,82,32,50,242.4,437.1,25.6,8.7,14.7,58.8,2.5,3.4,75.7,20.2,78.9,7.2,28.1,0.9,3.7,1.3,5.1,1.5,5.7
2016-17,Regular+Season,SAS,San Antonio Spurs,81,61,20,241.5,434.0,22.9,8.1,12.6,64.4,2.7,3.7,73.4,19.2,83.8,6.7,29.0,0.9,3.9,1.2,5.1,1.7,7.3
2016-17,Regular+Season,TOR,Toronto Raptors,81,50,31,241.2,392.1,21.9,7.0,11.9,59.0,2.4,3.2,73.9,16.7,76.1,6.4,29.4,0.7,3.2,1.2,5.6,1.5,6.9
2016-17,Regular+Season,UTA,Utah Jazz,82,51,31,240.9,429.2,25.4,8.8,13.8,64.0,3.5,5.2,67.2,21.9,85.9,6.5,25.6,0.7,2.7,1.4,5.7,2.4,9.4
2016-17,Regular+Season,WAS,Washington Wizards,82,49,33,242.1,386.2,23.8,8.6,14.3,60.3,2.6,3.6,73.1,20.3,85.5,5.9,24.8,0.9,3.6,1.3,5.4,1.6,6.9
2016-17,Playoffs,ATL,Atlanta Hawks,6,2,4,240.0,422.7,26.3,8.8,14.2,62.4,4.3,6.3,68.4,22.5,85.4,6.3,24.1,1.3,5.1,1.5,5.7,2.7,10.1
2016-17,Playoffs,BOS,Boston Celtics,18,9,9,241.4,422.6,23.6,8.4,13.2,63.7,2.1,3.1,69.1,19.2,81.6,6.9,29.5,1.9,8.3,1.2,5.0,1.4,6.1
2016-17,Playoffs,CHI,Chicago Bulls,6,2,4,240.0,380.3,25.3,9.8,14.8,66.3,2.2,2.7,81.3,22.0,86.8,7.5,29.6,1.2,4.6,1.0,3.9,1.3,5.3
2016-17,Playoffs,CLE,Cleveland Cavaliers,18,13,5,240.0,377.3,21.2,5.9,10.0,59.4,3.5,4.8,73.3,15.4,72.7,6.9,32.5,1.6,7.3,1.1,5.0,2.1,10.0
2016-17,Playoffs,GSW,Golden State Warriors,17,16,1,240.0,420.6,24.4,9.3,13.6,68.4,2.4,3.3,73.2,21.3,87.4,7.9,32.6,2.3,9.4,0.7,2.9,1.6,6.5
2016-17,Playoffs,HOU,Houston Rockets,11,6,5,242.3,360.6,22.3,7.5,11.5,65.9,2.7,4.0,68.2,18.3,82.0,6.7,30.2,1.1,4.9,1.4,6.1,1.8,8.2
2016-17,Playoffs,IND,Indiana Pacers,4,0,4,240.0,369.8,27.8,7.5,13.5,55.6,2.3,4.0,56.3,17.5,63.1,10.5,37.8,1.3,4.5,0.8,2.7,2.3,8.1
2016-17,Playoffs,LAC,LA Clippers,7,3,4,240.0,357.9,19.3,7.6,10.9,69.7,2.7,4.9,55.9,17.9,92.6,3.7,19.3,0.4,2.2,1.3,6.7,1.9,9.6
2016-17,Playoffs,MEM,Memphis Grizzlies,6,2,4,244.2,371.5,18.0,5.2,11.2,46.3,1.2,1.7,70.0,12.0,66.7,3.8,21.3,0.5,2.8,1.5,8.3,0.7,3.7
2016-17,Playoffs,MIL,Milwaukee Bucks,6,2,4,240.0,407.8,24.8,7.5,14.7,51.1,3.2,4.0,79.2,18.8,75.8,6.8,27.5,0.5,2.0,0.7,2.7,1.3,5.4
2016-17,Playoffs,OKC,Oklahoma City Thunder,5,1,4,240.0,353.8,26.4,10.2,14.6,69.9,1.6,2.4,66.7,22.2,84.1,7.2,27.3,1.0,3.8,1.6,6.1,1.2,4.5
2016-17,Playoffs,POR,Portland Trail Blazers,4,0,4,240.0,367.8,19.3,6.5,10.8,60.5,2.5,3.5,71.4,15.5,80.5,5.3,27.3,0.8,3.9,1.0,5.2,1.3,6.5
2016-17,Playoffs,SAS,San Antonio Spurs,16,8,8,243.1,405.8,26.3,9.4,14.4,65.2,3.2,4.3,75.0,22.3,85.0,8.1,31.0,0.8,3.1,1.3,4.8,1.6,6.0
2016-17,Playoffs,TOR,Toronto Raptors,10,4,6,240.0,383.5,20.1,6.0,10.7,56.1,2.8,3.6,77.8,15.4,76.6,5.8,28.9,0.6,3.0,0.9,4.5,1.6,8.0
2016-17,Playoffs,UTA,Utah Jazz,11,4,7,240.0,399.1,20.2,7.7,11.2,69.1,1.7,3.5,50.0,17.6,87.4,5.5,27.5,1.2,5.9,0.6,3.2,1.6,8.1
2016-17,Playoffs,WAS,Washington Wizards,13,7,6,241.9,373.2,24.7,8.2,14.1,57.9,2.8,3.8,72.0,19.5,79.1,6.9,28.0,1.2,4.7,0.9,3.7,1.8,7.5
2017-18,Regular+Season,ATL,Atlanta Hawks,81,24,57,240.3,449.7,21.0,7.6,12.0,63.7,2.0,2.9,70.8,17.8,84.7,5.3,25.1,0.7,3.4,1.2,5.5,1.3,6.4
2017-18,Regular+Season,BOS,Boston Celtics,79,52,27,241.6,422.5,21.0,6.6,11.5,57.7,2.2,3.1,68.8,15.7,75.0,6.0,28.5,0.8,3.9,1.0,4.9,1.5,7.0
2017-18,Regular+Season,BKN,Brooklyn Nets,80,27,53,242.2,449.0,21.9,7.1,11.9,59.2,2.1,3.1,69.5,16.6,76.0,6.3,28.9,1.0,4.4,1.2,5.5,1.4,6.4
2017-18,Regular+Season,CHA,Charlotte Hornets,82,36,46,241.2,402.4,21.9,7.9,12.3,63.8,2.9,4.8,59.6,19.0,86.8,5.2,23.9,0.9,4.0,0.9,4.2,2.3,10.3
2017-18,Regular+Season,CHI,Chicago Bulls,82,27,55,242.1,422.4,21.2,7.4,12.4,59.9,2.4,3.2,75.2,17.7,83.5,5.3,25.0,0.7,3.4,1.0,4.8,1.5,7.1
2017-18,Regular+Season,CLE,Cleveland Cavaliers,82,50,32,240.6,392.8,21.5,7.8,12.1,64.7,2.6,3.7,72.3,18.7,86.9,5.2,24.1,0.9,4.3,1.0,4.7,1.7,7.8
2017-18,Regular+Season,DAL,Dallas Mavericks,82,24,58,241.5,420.8,19.6,6.9,10.6,65.7,2.0,3.0,66.8,16.2,82.4,5.7,29.1,0.8,4.0,0.9,4.5,1.4,6.9
2017-18,Regular+Season,DEN,Denver Nuggets,82,46,36,242.4,424.8,24.9,8.4,13.3,63.3,2.9,4.0,73.0,20.3,81.3,6.9,27.6,1.3,5.3,1.4,5.6,1.8,7.3
